,fishNum,F45,F45.5,F46,F46.5,F47,F47.5,F48,F48.5,F49,F49.5,F50,F50.5,F51,F51.5,F52,F52.5,F53,F53.5,F54,F54.5,F55,F55.5,F56,F56.5,F57,F57.5,F58,F58.5,F59,F59.5,F60,F60.5,F61,F61.5,F62,F62.5,F63,F63.5,F64,F64.5,F65,F65.5,F66,F66.5,F67,F67.5,F68,F68.5,F69,F69.5,F70,F70.5,F71,F71.5,F72,F72.5,F73,F73.5,F74,F74.5,F75,F75.5,F76,F76.5,F77,F77.5,F78,F78.5,F79,F79.5,F80,F80.5,F81,F81.5,F82,F82.5,F83,F83.5,F84,F84.5,F85,F85.5,F86,F86.5,F87,F87.5,F88,F88.5,F89,F89.5,F90,F90.5,F91,F91.5,F92,F92.5,F93,F93.5,F94,F94.5,F95,F95.5,F96,F96.5,F97,F97.5,F98,F98.5,F99,F99.5,F100,F100.5,F101,F101.5,F102,F102.5,F103,F103.5,F104,F104.5,F105,F105.5,F106,F106.5,F107,F107.5,F108,F108.5,F109,F109.5,F110,F110.5,F111,F111.5,F112,F112.5,F113,F113.5,F114,F114.5,F115,F115.5,F116,F116.5,F117,F117.5,F118,F118.5,F119,F119.5,F120,F120.5,F121,F121.5,F122,F122.5,F123,F123.5,F124,F124.5,F125,F125.5,F126,F126.5,F127,F127.5,F128,F128.5,F129,F129.5,F130,F130.5,F131,F131.5,F132,F132.5,F133,F133.5,F134,F134.5,F135,F135.5,F136,F136.5,F137,F137.5,F138,F138.5,F139,F139.5,F140,F140.5,F141,F141.5,F142,F142.5,F143,F143.5,F144,F144.5,F145,F145.5,F146,F146.5,F147,F147.5,F148,F148.5,F149,F149.5,F150,F150.5,F151,F151.5,F152,F152.5,F153,F153.5,F154,F154.5,F155,F155.5,F156,F156.5,F157,F157.5,F158,F158.5,F159,F159.5,F160,F160.5,F161,F161.5,F162,F162.5,F163,F163.5,F164,F164.5,F165,F165.5,F166,F166.5,F167,F167.5,F168,F168.5,F169,F169.5,F170,F173,F173.5,F174,F174.5,F175,F175.5,F176,F176.5,F177,F177.5,F178,F178.5,F179,F179.5,F180,F180.5,F181,F181.5,F182,F182.5,F183,F183.5,F184,F184.5,F185,F185.5,F186,F186.5,F187,F187.5,F188,F188.5,F189,F189.5,F190,F190.5,F191,F191.5,F192,F192.5,F193,F193.5,F194,F194.5,F195,F195.5,F196,F196.5,F197,F197.5,F198,F198.5,F199,F199.5,F200,F200.5,F201,F201.5,F202,F202.5,F203,F203.5,F204,F204.5,F205,F205.5,F206,F206.5,F207,F207.5,F208,F208.5,F209,F209.5,F210,F210.5,F211,F211.5,F212,F212.5,F213,F213.5,F214,F214.5,F215,F215.5,F216,F216.5,F217,F217.5,F218,F218.5,F219,F219.5,F220,F220.5,F221,F221.5,F222,F222.5,F223,F223.5,F224,F224.5,F225,F225.5,F226,F226.5,F227,F227.5,F228,F228.5,F229,F229.5,F230,F230.5,F231,F231.5,F232,F232.5,F233,F233.5,F234,F234.5,F235,F235.5,F236,F236.5,F237,F237.5,F238,F238.5,F239,F239.5,F240,F240.5,F241,F241.5,F242,F242.5,F243,F243.5,F244,F244.5,F245,F245.5,F246,F246.5,F247,F247.5,F248,F248.5,F249,F249.5,F250,F250.5,F251,F251.5,F252,F252.5,F253,F253.5,F254,F254.5,F255,F255.5,F256,F256.5,F257,F257.5,F258,F258.5,F259,F259.5,F260
0,LT018,-60.47585624193548,-60.16655803225807,-59.482108370967744,-58.753441782258065,-58.46865468548387,-58.25144926612903,-58.30604957258065,-57.990066459677415,-57.82050523387097,-57.50757167741935,-57.19378383064516,-57.03406066935484,-57.02067871774194,-57.166529846774196,-57.05926758064516,-56.76312068548388,-56.39006347580646,-56.14313758064516,-55.9224725,-55.75126855645161,-55.71228055645161,-55.49840462096774,-54.95797041129032,-54.60820583870968,-54.435130596774194,-54.39418812903226,-54.1568452983871,-53.664715153225806,-53.4820202983871,-53.50482144354839,-53.3779802016129,-53.141466112903224,-52.81859458870968,-52.48633355645161,-52.273525395161286,-52.2049949032258,-52.271176661290326,-52.43091619354839,-52.491258532258065,-52.3034165967742,-52.33419074193549,-52.51511458064516,-52.50834589516129,-52.609614024193554,-52.73775651612903,-52.7009447016129,-52.577970830645164,-52.699464508064516,-52.638520951612904,-52.32226023387097,-51.97222783064516,-51.588783637096775,-51.306190153225806,-51.13499582258064,-51.136677774193544,-51.32962466935484,-51.313942991935484,-51.18932461290323,-51.17678030645161,-51.15547037096774,-50.779370516129035,-50.648668637096776,-50.483554201612904,-49.71784515322581,-49.145537193548385,-48.784651661290326,-48.5741135,-48.49804579032258,-48.35449635483871,-48.31122782258064,-48.41172949193548,-48.438414411290324,-48.56051399193549,-48.69270108870968,-48.73065475806452,-48.76339196774193,-49.15695490322581,-48.810391911290324,-48.80547805645161,-48.78896137903226,-48.84459051612903,-49.07849546774194,-49.091517782258066,-48.92273773387097,-48.54169689516129,-48.339595193548384,-48.22727616129032,-48.22845580645161,-48.6559860483871,-49.21145158870968,-57.81825535483871,-57.28054125806451,-56.87961716935484,-56.8668415,-56.837414411290325,-56.76432262903226,-56.54214134677419,-56.60730508064516,-56.66450659677419,-56.36731571774194,-56.17759233064516,-55.33643905645161,-54.82806500806451,-54.97074319354839,-55.107364790322585,-55.039932887096775,-54.937912241935486,-54.576927935483866,-54.223871354838714,-54.19744636290323,-54.21682064516129,-53.97221680645161,-53.83264609677419,-53.736286016129036,-53.63850441129032,-53.71962890322581,-53.543303540322576,-53.39724407258065,-53.324976516129034,-53.14725212903226,-53.166707362903225,-53.20738655645162,-52.898653564516124,-52.640058064516126,-52.564832596774195,-52.37382827419355,-52.30158264516129,-52.4319965,-52.041399258064516,-51.64029227419355,-51.497081112903224,-51.10698115322581,-50.87431196774194,-51.02093592741935,-50.82059825,-50.566106508064514,-50.470654483870966,-50.20753497580645,-49.92811375,-50.37542775,-50.25947763709677,-49.01170542741936,-47.78255874193548,-48.66248949193548,-49.60133773387096,-49.82167840322581,-49.88874648387097,-49.66713146774193,-48.9914689516129,-48.59036175,-48.28784471774194,-48.27462841935484,-48.41133611290323,-48.74540161290322,-49.218983483870964,-48.94839273387097,-48.64056617741935,-48.57188176612903,-48.51515513709678,-48.838625217741935,-48.81744113709677,-48.53599694354838,-48.38846999193548,-48.26068261290323,-48.21482944354838,-48.328423717741934,-48.42892938709677,-48.61356960483871,-48.87653166935484,-48.57235011290322,-48.0948891532258,-47.721926612903225,-47.50254487903226,-47.890592,-48.13279669354839,-47.94300737096774,-47.9604222016129,-47.73032103225806,-47.68263285483871,-47.4944376532258,-47.40681942741936,-47.233259193548385,-47.05612842741935,-46.77066769354839,-46.560900548387096,-47.418669096774195,-48.25556551612903,-47.945378500000004,-47.53461208870968,-46.930462080645164,-46.476332516129034,-46.38289474193548,-46.6149582983871,-46.55463169354839,-46.71528111290323,-46.152650903225805,-45.71318100806452,-45.82298392741935,-46.25313591935484,-46.42935033064516,-46.279594249999995,-45.79417121774193,-45.37817377419355,-45.471674943548386,-45.31810031451613,-45.076643306451615,-44.793163209677424,-44.53869276612903,-44.21740983870968,-44.15220121774194,-43.516445008064515,-42.92269870967742,-42.77048396774194,-42.86281747580645,-43.04432490322581,-43.16630483870968,-43.36757538709678,-43.07114667741936,-42.89162208870968,-42.814533491935485,-42.705035717741936,-42.637302943548384,-42.34952537903226,-42.24365057258065,-42.31640800806452,-42.19807975,-42.25939055645161,-42.42425532258064,-42.633298104838715,-42.61791633064516,-42.20451346774193,-41.8328085,-41.76286364516129,-41.67087709677419,-41.414626266129034,-41.49964379032258,-41.4382946532258,-41.36495785483871,-41.6839315,-41.75648938709677,-42.196603225806456,-42.241570846774195,-42.31840192741935,-42.68394153225807,-42.55106812096774,-42.674449120967736,-42.618395758064516,-42.47976474193548,-42.80002290322581,-42.80057358870968,-43.14114568548387,-51.95807788709678,-51.85244026612903,-52.22329042741936,-53.066086491935486,-53.22375350806451,-53.16688610483871,-52.86203686290323,-52.262689701612906,-52.01554745967742,-51.768755999999996,-51.48523391935484,-51.16790262903226,-50.86818134677419,-51.00039937096774,-51.205858032258064,-51.31123954032258,-51.4817978467742,-51.36694841129032,-51.25532026612903,-51.347968177419354,-51.37645257258064,-51.373990217741934,-51.19162472580645,-51.16361372580646,-51.22542556451613,-51.40068171774193,-51.13300687903226,-50.966151927419354,-51.07456356451613,-51.22578018548387,-51.348397145161286,-51.64729129032258,-51.777593379032254,-51.86937570967741,-51.682927217741934,-51.74419631451613,-51.53021320967742,-51.39257022580645,-51.261324346774195,-51.160451475806454,-50.94364029032258,-51.047848903225805,-51.037539096774196,-51.073395556451615,-51.57787062903226,-51.34678919354839,-51.64540949193548,-50.99379194354839,-51.05813997580645,-51.57119728225806,-51.94470725,-51.84711158064516,-51.838501774193546,-51.89404762903226,-51.92391116935484,-51.785378330645166,-51.660192314516124,-51.752543298387096,-51.55464181451613,-51.300583596774196,-51.101258903225805,-50.8801305483871,-50.48131383064516,-50.461882491935484,-50.580768185483876,-50.68412163709677,-50.964271241935485,-51.02330035483871,-51.21439214516129,-51.49874192741935,-51.70047348387097,-51.4883806532258,-51.63231356451613,-51.96065002419355,-52.227450193548385,-52.40015366935484,-52.35227125806452,-52.12078135483871,-51.9627089032258,-51.76212578225806,-51.773532064516125,-52.22101507258065,-52.41724891129032,-52.37298327419355,-52.04520543548387,-51.21764608064516,-50.3306401451613,-49.84583551612903,-49.08647916935484,-49.05201291935484,-49.3557077983871,-49.962917879032254,-50.84832953225806,-50.764534379032256,-50.61386720967742,-50.69901987903226,-50.218023048387096,-50.25025067741936,-50.35531925806452,-50.45390262903226,-51.00887344354838,-50.90611819354839,-50.92407162903226,-50.497053967741934,-49.808810330645166,-49.84956308064516,-50.18384456451613,-51.07319664516129,-52.048575822580645,-52.04343801612904,-51.83747930645161,-50.97629264516129,-50.35537637096774,-50.28261152419355,-50.243307282258066,-50.594574903225805,-50.77053691129032,-50.96929745967742,-51.28330362096774,-51.31860344354839,-51.19362331451613,-50.85801526612904,-50.39607058064516,-50.00870058064516,-49.55350995967742,-49.33135281451613,-49.04690702419355,-49.25256037096774,-49.46809117741935,-49.794585435483874,-49.57516276612903,-49.06909466935484,-48.536843241935486,-48.10672831451613,-47.96983699193548,-48.18413168548387,-48.944330951612905,-48.82803481451613,-48.635085306451614,-48.21234163709678,-48.04843157258065,-47.71934755645161,-47.765014153225806,-47.83116724193548,-47.22609080645161,-47.07899762903226,-47.0468648467742,-47.27069489516129,-47.453739451612904,-47.37893854032259,-47.06635860483871,-47.201071435483875,-47.17799917741936,-47.21139398387097,-47.29876208064516,-47.379385209677416,-47.33494283064516,-47.170771733870964,-46.16633841935484,-45.54722043548387,-45.21637403225807,-45.61904763709678,-45.973611508064515,-46.26498930645161,-46.6321900483871,-46.75461060483871,-46.67517941935484,-46.39712366935484,-46.22161787096774,-45.95357257258065,-45.70238775806452,-45.71458734677419,-46.50194322580645,-47.438748435483866,-47.398927290322575
1,LT019,-54.347985,-53.58567068308703,-52.8038751954023,-51.78326937438424,-51.24397143021346,-50.86673463382594,-50.79364521018063,-50.866383980295566,-51.030494587848935,-51.26016586863711,-51.64889999178982,-51.7788906863711,-51.31530319211823,-50.28972247126437,-49.57561649753695,-48.96349653037767,-48.63886889162562,-48.54303435139573,-48.55434478325123,-48.82469120853859,-49.224295753694584,-49.711774339901474,-50.49299713957307,-50.58076269786535,-49.7841529819376,-48.937908408866996,-48.29948976518883,-47.68463640722496,-47.16344592610837,-46.81981452380953,-46.58959938752053,-46.45065154351396,-46.58243242528735,-46.65762716584565,-46.671645711001645,-46.26732976190476,-45.98359781280788,-45.726550057471265,-45.30771474220033,-44.89246166995074,-44.74949328078817,-44.87016533825945,-45.45567866995074,-46.2577541724138,-47.281212775041055,-47.575614717569785,-47.38472455993431,-47.04497992939245,-46.557807702791465,-45.99674196551724,-45.57001244499179,-45.36208563382594,-45.349258185550084,-45.3863433136289,-45.41801983087028,-45.184013364532014,-45.05462951395731,-44.799981714285714,-44.09535853530378,-43.38495932348111,-42.890681863711,-42.46187499835796,-42.35094763054187,-42.458468536945816,-42.718118722495895,-43.07476362397373,-43.27424947126437,-43.40043358784893,-43.41140399014778,-43.17193435960591,-42.80640708374384,-42.4467537044335,-42.36652435632184,-42.49528121839081,-42.61198321674877,-43.02267749753695,-43.44478780623974,-43.637145771756984,-43.517842743842365,-43.067605178981935,-42.71567093103448,-42.22922975862069,-41.70479317405583,-41.364308190476194,-41.20798476518883,-41.01339005582923,-40.99726031855501,-41.158737233169134,-41.705115684729066,-42.48590484729064,-50.66204847454844,-50.34030710837438,-49.90842228899836,-49.659862733990146,-49.522558929392446,-49.54798584729064,-49.87133320361248,-50.38855420197044,-50.787370110016425,-50.43795558784893,-50.153035625615765,-49.627679620689655,-48.99550974876847,-48.85120981280788,-48.66603348768473,-48.54407115106732,-48.604017701149424,-48.55546809359606,-48.37892433004926,-48.25217658128079,-48.14791208374384,-48.23786219868637,-48.322568883415435,-48.27767756321839,-48.225813594417076,-47.89193999671593,-47.400446157635464,-47.03653104597701,-46.86612587684729,-46.92678676683087,-46.95849595730706,-46.72217208210181,-46.559158545155995,-46.49591826272578,-46.34923466666667,-46.60844052545156,-46.82170100656815,-46.947724390804595,-46.74925527914614,-46.207364492610836,-45.8270198226601,-45.7752808045977,-45.731722711001645,-45.90545996551724,-45.96751962889983,-46.03401736124795,-45.96554535960591,-45.62448661083744,-45.17736536453202,-45.13356007060755,-45.17431752709359,-44.143563425287354,-42.85732050082102,-43.68820383415435,-44.121626247947454,-44.02066481773399,-44.07331584236453,-43.909440149425286,-43.81817844827586,-43.87809092446634,-43.54018664696223,-43.64391681280788,-43.770064727422,-43.8699050591133,-44.17036608374384,-44.28454354187192,-44.27094237602627,-44.20949408702791,-44.21887584236453,-44.36201036945813,-44.09659373563218,-43.83315670114943,-43.70289923481116,-43.49578747126437,-43.50862878325123,-43.71490760591133,-43.898448298850575,-43.87782450082101,-44.01481244170772,-43.838401819376024,-43.433675282430215,-42.99797973891626,-42.48244373070607,-42.592217868637114,-42.8971514318555,-43.10885272085386,-43.31936333333333,-43.13144775862069,-42.82154973399015,-42.69054087027915,-42.832222586206896,-42.872065412151066,-42.92314403448275,-42.82719960098522,-42.60695103448276,-43.05407563546798,-43.45487208210181,-42.91170311330049,-42.45568066995074,-41.994519954022984,-41.65817991625616,-41.76021118390805,-41.76626085385878,-41.53856181609195,-41.34973452380952,-41.39598277339901,-41.62074108538587,-42.08642047947455,-42.55241040394089,-42.68558036124795,-42.53409889819376,-42.21311919047619,-42.15952170279146,-42.00105695238095,-41.67665324630541,-41.373999802955666,-41.13894533825944,-41.13439939408867,-41.23527397536946,-41.24665325779967,-41.154049044334975,-40.948235315270935,-40.817221326765186,-40.612315068965515,-40.429343697865356,-40.490303065681445,-40.675796446633825,-41.00259393267652,-41.20961374712644,-41.08632618390805,-40.829295574712646,-40.85662499671593,-40.72802796223317,-40.484334057471266,-40.3405476272578,-40.25941442857143,-39.9738323957307,-39.78624528407225,-39.57697274384237,-39.5747827635468,-39.69932413300492,-39.7425409408867,-39.875462977011495,-39.61959219868637,-39.485426004926104,-39.17844701477833,-39.1207745090312,-38.90963256486042,-38.72771374220033,-38.90480069458128,-39.14756233004926,-39.35171170279146,-39.55924261740558,-39.713384415435144,-39.98752633990148,-39.82289149425288,-39.55429450738916,-39.271888596059114,-39.11142230541872,-39.3641325320197,-39.67128498029557,-47.791097889983575,-47.591624203612476,-47.67419155008211,-47.621083750410506,-47.42394913300493,-47.46781351395731,-47.52358602791462,-47.461917228243024,-47.417004328407224,-47.316736223316916,-47.24756595073892,-47.16598690476191,-46.918853957307064,-46.788753977011496,-46.67276532676519,-46.58481624630542,-46.57849748768473,-46.41837055829229,-46.352123589490965,-46.38034406568145,-46.19215498522168,-46.12557011001642,-46.18119613136289,-46.25439475533661,-46.444563824302136,-46.73218952216749,-46.731389293924465,-46.93305262397373,-47.04288016912972,-46.838541577996715,-46.75705697208539,-46.722885711001645,-46.3819456863711,-46.00642131691297,-45.457147426929396,-45.018860208538584,-44.7974716683087,-44.789557958949096,-44.913856149425285,-45.143967091954025,-45.12387484236453,-45.33174841050903,-45.611439277504104,-45.885690940886704,-45.973279339901474,-46.127234228243026,-46.363878540229884,-46.42499494417077,-46.50427649753694,-46.53406270607554,-46.44544660262726,-46.52928788013136,-46.63722654022988,-46.64898023481117,-46.364312243021345,-46.25250446962233,-45.82432179802956,-45.579631392446636,-45.594043523809525,-45.471242318555014,-45.55206003284072,-45.60890400985222,-45.56994563711002,-45.85299682430213,-45.741935096880134,-46.1135800771757,-46.576520752052545,-46.43864042528736,-46.007416417077174,-45.644142540229886,-45.30747340886699,-45.202406975369456,-45.09882704597701,-45.190001760262724,-45.15318176683087,-45.201569400656815,-45.15878278160919,-45.107413717569784,-45.154569605911334,-45.01796441050903,-44.92328327914614,-45.23608306568144,-45.55156912972085,-45.878517740558294,-46.028344472906404,-45.58394829885057,-45.017789600985225,-44.90609533497537,-44.58754749917898,-44.420161569786536,-44.44570002791461,-44.49171867159278,-44.85538064860427,-44.90885849589491,-44.81495660262726,-44.88704140558292,-44.66432197208538,-44.41449528243022,-44.11378440229885,-44.00550345648604,-43.90169884236453,-43.50997529885058,-43.308583334975374,-42.87229874220033,-41.908618418719215,-41.79936697536946,-41.89346596223317,-42.77367053201971,-43.7416849589491,-43.856599837438424,-44.16539865517242,-43.80439816748768,-43.27633785057471,-43.10732929064039,-42.83895622167488,-42.91063249589491,-42.93468158128079,-42.76773977668309,-42.57134460262726,-42.81380075369458,-43.24591237931035,-43.27181237931034,-43.087089665024635,-42.660261604269294,-42.31145573563219,-42.0487968456486,-41.6460984909688,-41.63305606732348,-41.534551098522165,-41.71758982594417,-41.889339224958945,-41.97014937931035,-41.71687504269294,-41.46062623809524,-41.215872665024634,-41.33795712972085,-41.76323510837439,-42.24113372085386,-42.58239786042693,-42.45387481280788,-42.32396854844007,-41.94266855500821,-41.76243887684729,-41.62577995402299,-41.57731930870279,-41.33492187356322,-40.96052108538588,-40.85787672413793,-40.86863557471264,-40.565038221674875,-40.15157697044335,-39.968004727422,-39.6641984729064,-39.55152564367816,-39.52448729228243,-39.56145329228243,-39.40592592775042,-39.087676201970446,-38.81868920197044,-38.52735287356322,-38.28608234646963,-38.40141749753695,-38.19448097865353,-38.608874380952386,-38.666210904761904,-38.8406801954023,-38.91521673070607,-38.85470907389163,-38.23875405418719,-37.55725081773399,-37.334284146141215,-37.424676128078815,-37.671053896551726,-38.22024828243021,-38.5023645681445
2,LT020,-53.26776798974359,-53.05612065299145,-52.80603186666667,-52.21011320683761,-52.00808564786325,-51.758248977777775,-51.6415374017094,-51.59817870940171,-51.41250538632479,-51.208775441025644,-51.035154694017095,-51.02932403589743,-51.06110312649573,-51.362550495726495,-51.53213048888889,-51.48325761196581,-51.40233699316239,-51.36426162735043,-51.16981498632479,-51.01567244444444,-50.86541590598291,-50.73684691794872,-50.548522565811965,-50.34621765641025,-50.28962723931624,-50.06025943931624,-49.74519422564103,-49.498875145299145,-49.20968442564103,-48.79876987179487,-48.47393582393162,-48.12557992820513,-47.755423818803415,-47.49120591111111,-47.28161350427351,-47.12039767863248,-46.90901842564102,-46.738350687179484,-46.56546215213675,-46.47129226153846,-46.414537907692306,-46.448248553846156,-46.38082555555555,-46.339190851282055,-46.27694334358974,-46.307055822222225,-46.32553100683761,-46.248883047863245,-46.16552203247863,-46.20443183076923,-46.08541419316239,-46.06333956410256,-45.99128428888889,-45.93736524273504,-45.88678479316239,-45.64255452649573,-45.283231410256406,-44.88239975213675,-44.69675232820513,-44.545603035897436,-44.41281417264957,-44.24588895897436,-44.07716735897436,-44.04272647008547,-43.958604447863245,-43.905843509401706,-43.78925601538461,-43.565747699145305,-43.14229404102564,-42.75840692136752,-42.488643013675215,-42.437730743589746,-42.37368469230769,-42.43093423931624,-42.54471574188034,-42.56012398632479,-42.36217328888888,-42.10277820512821,-41.92309529230769,-41.70349442905983,-41.5956359059829,-41.536382543589745,-41.306820046153845,-41.03349594017094,-40.751635916239316,-40.52093777948718,-40.51126736068376,-40.68398472136752,-40.94119354871795,-41.2155097059829,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-47.81442629059829,-47.730245723076926,-47.55022813504274,-47.50701497264958,-47.41968366495726,-47.795105776068375,-48.038375186324785,-47.84337201538462,-47.60690203589744,-47.26290922735043,-46.81614384615384,-46.61252354358974,-46.461679268376066,-46.41095675555556,-46.44287521709401,-46.42892234871795,-46.336715056410256,-46.25941304786325,-46.30833654358974,-46.34318508034188,-46.51876287350427,-46.681473815384614,-46.71644601709402,-46.70846887863248,-46.68882694871795,-46.72973330769231,-46.70008776410256,-46.729524382905986,-46.81292806324786,-46.74278998119658,-46.50677044444444,-46.10470004102564,-45.773661158974356,-45.58276151965812,-45.53851343247863,-45.79199571282051,-45.9097606017094,-45.894461073504274,-45.83661653162393,-45.69390907179487,-45.63115130427351,-45.83551914188034,-46.049988635897435,-46.32128189230769,-46.53607176923077,-46.49665916410257,-46.247187601709406,-46.10909536239316,-45.95470877606838,-45.96478392991453,-45.95530483247863,-46.092831810256406,-46.18129962393163,-46.20883313162393,-46.23912665641026,-46.219938885470086,-46.24202256752137,-46.34053624444444,-46.402133152136756,-46.44494271965812,-46.58196458803418,-46.51077606153846,-46.27085637948718,-46.20944162222222,-46.068288786324786,-46.263354717948715,-46.688946743589746,-46.57168501025641,-46.347167100854705,-46.348928054700856,-46.25473243931624,-46.21851003760684,-46.21240007008547,-46.2701228991453,-46.365675186324786,-46.258703420512816,-46.02654508376068,-46.11469515042735,-46.15348115384616,-46.3715697008547,-46.59057629572649,-46.82798111452992,-46.84057684273505,-46.47780769059829,-46.24885015726496,-45.81868233504274,-45.49408072307692,-45.534290452991456,-45.6593026034188,-46.11273996068376,-46.1645992034188,-45.85205393333333,-45.577439586324786,-45.07847094700855,-44.64933953162393,-44.75484314017094,-44.793150810256414,-45.3110207965812,-45.73545892478633,-45.501826,-45.311830109401704,-44.74554667692308,-44.11890176923077,-43.53761205128205,-42.90057511111111,-43.44917624102565,-44.065642025641026,-45.24581987179487,-46.06789244615384,-46.08548114529915,-45.86001218119658,-45.21279079999999,-44.581399254700855,-44.46764662905983,-44.2528903042735,-44.417444153846155,-44.50670675726496,-44.5502977076923,-44.64089741367521,-44.81401761880342,-45.208146215384616,-45.15010268205128,-45.143998842735044,-44.845018842735044,-44.189294196581194,-43.545434112820516,-42.94554847863248,-42.780581707692306,-42.58334865641026,-42.335201458119656,-42.11453124273505,-41.84497615042735,-41.31600934188034,-40.999668883760684,-40.46435031111111,-40.51930181196582,-40.751613502564105,-40.91161523760684,-41.21937226153847,-41.7862194957265,-42.32598264615385,-42.62466852307693,-42.55465776923077,-42.35588539658119,-42.21387957777778,-41.99365060341881,-41.82092682393163,-41.92796155042735,-42.0242734991453,-41.93137646666666,-41.58816423760683,-41.40632880683761,-41.079328735042736,-40.71806879316239,-40.514141408547005,-40.516643576068375,-40.54083093162394,-40.430207536752135,-40.18848245811966,-40.00423525811966,-39.73174943076923,-39.62467417094017,-39.662172558974355,-39.620066155555556,-39.52875345299145,-39.754793694017096,-39.566349244444446,-39.224917246153844,-38.80997377094017,-38.61031685641025,-38.33610672820513,-38.33054314871794,-38.46555244957265,-38.55478088717948,-38.466843324786325
