fishNum,species,PC1,PC2,PC3
LT001,lakeTrout,12.444100333076506,0.6020040748202375,-4.603800170795893
LT001,lakeTrout,32.90890920088915,-0.8571829474403536,-0.5718926427590456
LT001,lakeTrout,14.996299590713754,7.518403160322134,1.314406981170812
LT001,lakeTrout,10.42401852021455,2.539941229114859,-5.095214704361717
LT001,lakeTrout,8.916543537052736,1.1240762405972267,2.1139709335179035
LT001,lakeTrout,11.862600064027589,3.897757879233529,0.41182447518062437
LT001,lakeTrout,13.683293706047573,3.90902060306663,1.7298056057331146
LT001,lakeTrout,15.523451595458418,1.6291004182031492,0.08041227648220495
LT001,lakeTrout,11.013876433327589,3.5065929944337344,1.16862179255221
LT001,lakeTrout,8.579808772060503,5.430316617628091,1.498768461066983
LT001,lakeTrout,6.534783336680337,8.001843814190655,2.3235444342574056
LT001,lakeTrout,2.4642342541434767,10.720732527639665,1.7219717143227755
LT001,lakeTrout,5.417147241589291,2.7157535873265504,-3.249762601752904
LT001,lakeTrout,4.358600707826663,1.3057466673114992,-0.13320451503516972
LT001,lakeTrout,5.341459703511911,4.621019049439536,2.7788027329085065
LT001,lakeTrout,1.7010972540785325,7.804735644940757,3.6586936479296828
LT001,lakeTrout,4.165276508179943,4.718171398122887,4.481318705003905
LT001,lakeTrout,0.5329463635889881,4.141251542973906,-0.6368698211264407
LT001,lakeTrout,11.393177951641519,-5.355500495234558,-3.4085515044640777
LT001,lakeTrout,11.970417539062195,0.3951592745602823,0.7593073696479579
LT001,lakeTrout,10.447821027152754,3.2731805923700277,1.3029418282461163
LT001,lakeTrout,8.42817204754702,4.932222573510893,1.0695605190136028
LT001,lakeTrout,7.633958480463935,6.526350809927428,1.2066022288645042
LT001,lakeTrout,5.872991773173001,4.978681042421989,2.4715415729952226
LT001,lakeTrout,3.74887358513358,2.5474914566610027,-1.5090745459616581
LT001,lakeTrout,12.551553204687359,-0.053379396068968354,-6.275571929795685
LT001,lakeTrout,14.25703916004136,-1.859994778865532,-2.6219588618608025
LT001,lakeTrout,16.0431311475096,-3.849643402458232,-6.692996599858397
LT001,lakeTrout,18.310882693350475,-2.901349457020789,-5.114655450816137
LT001,lakeTrout,17.00715882559104,-5.800246888347535,-3.506995163210597
LT001,lakeTrout,6.685053748142523,2.368738712023211,-4.099578935104709
LT001,lakeTrout,2.3068785608437405,-4.2484166390368685,-1.6027178085963347
LT001,lakeTrout,-1.2759013822067802,-1.9930148979403466,2.6374284077515773
LT001,lakeTrout,8.540036156046813,-2.5767724677931203,1.6334939675961673
LT001,lakeTrout,9.369394290637285,-5.290220317650044,-6.998078580748691
LT001,lakeTrout,8.467447133071161,-0.5071874340054632,-1.2156848101218172
LT001,lakeTrout,-1.693855006809339,2.242778456309106,-1.1300723316630554
LT001,lakeTrout,-3.37416951454061,-1.4537521367323651,-3.64383697714434
LT001,lakeTrout,-2.4823088362098593,-3.483831181680352,-6.29559630853044
LT001,lakeTrout,-3.4369871863216694,3.0366518926433845,-0.5878026300345911
LT001,lakeTrout,6.099090862332769,5.395057270022028,0.3040953923504775
LT001,lakeTrout,13.988887484622872,-0.34960056655042804,-5.624929472741958
LT001,lakeTrout,7.763460530451291,-1.7693247309620779,-3.476414967203373
LT001,lakeTrout,12.19375059781199,-0.6607308245348167,1.4416268908721857
LT001,lakeTrout,10.199944528075175,2.9347063938283044,1.042047733910103
LT001,lakeTrout,8.374186326547578,4.535304707674599,1.0727666758528245
LT001,lakeTrout,5.484164891943217,5.770768510597657,1.344968908270845
LT001,lakeTrout,7.406135918475786,-7.835433588541376,-7.671471875073643
LT001,lakeTrout,13.471279973148878,-3.0043914961943976,-1.2619763931362207
LT001,lakeTrout,13.400139503678705,0.986714580845784,0.9420301861895946
LT001,lakeTrout,11.831900620642488,1.8392561609877331,-0.30894832032180075
LT001,lakeTrout,15.074319191436992,2.0196752611683313,-0.043791576483112354
