0,1,2,3,4,5
0.04416465001772802,0.0,0.09032138119843988,-0.014661095809570954,-0.05938234124355804,0.017340157871398462
0.04438057905785964,0.0,0.09087486355736318,-0.018508277671122893,-0.0668603963355495,0.020765760362435867
0.04467378565947333,0.0,0.09113662134412714,-0.02242641409608628,-0.07409438099219559,0.024495929247514564
0.04476644058987575,0.0,0.09159903745267278,-0.025762789852582617,-0.08094616790082834,0.028764382473689586
0.0449151994935058,0.0,0.09229235611644421,-0.029120550064222678,-0.08800082404103132,0.033913909168497625
0.04497579510556589,0.0,0.09267997381817536,-0.03229995498655569,-0.09463848465908864,0.03793930904346943
0.044912606757949676,0.0,0.09312162443097459,-0.03530501367080774,-0.10008559797934602,0.04190910781023813
0.04473533374040029,0.0,0.09360287910274818,-0.03871979221101962,-0.10490311567605803,0.046698443076282556
0.04428826316808422,0.0,0.09404927029425547,-0.04098671061144843,-0.10908612192814204,0.050607128826518036
0.043742752926462874,0.0,0.09426058328142005,-0.04255945836161337,-0.11239666908636917,0.05310918308485882
0.04327995284948943,0.0,0.09474037109219441,-0.04354547896703997,-0.11453156722755763,0.055871599759048596
0.04298825201471609,0.0,0.09562732819909071,-0.04389062314251987,-0.11591200830762338,0.05944478688725113
0.04273322532266667,0.0,0.09662490825401057,-0.04417512346195076,-0.1172035270374479,0.061639958563268205
0.042743499900307555,0.0,0.09780184519333979,-0.043870231884744815,-0.11722873926072346,0.06365420309336439
0.04270063015467326,0.0,0.09877659077638655,-0.043141391558875315,-0.11703910122083439,0.06494381192773721
0.042686062683132533,0.0,0.0994805372383769,-0.04182460783728397,-0.11604529229358251,0.06416801543980175
0.04266900677707679,0.0,0.09987289465583872,-0.03923352632195548,-0.1147922170942126,0.06313337101201175
0.04256288426270622,0.0,0.09946627514206878,-0.03614561249361738,-0.11283242929833287,0.0620442453394159
0.04266306117723999,0.0,0.09918505705249457,-0.03284296766555428,-0.10969190227353293,0.06148620999509721
0.0427107782516452,0.0,0.0984678947119849,-0.02939409534612021,-0.10455341125790918,0.06034671123178968
0.04291013096918068,0.0,0.09758328405756823,-0.025546618442346125,-0.09840472747558605,0.05923503472601423
0.04311527996317019,0.0,0.0966232040013814,-0.022082644119036227,-0.09062948404884905,0.05768962591939881
0.04338576698927278,0.0,0.09588649320567266,-0.019787102549853733,-0.08225260453336108,0.05592258101052062
0.04358476184412438,0.0,0.0956984887292771,-0.018373655802127912,-0.07480703569264126,0.05339156196598286
0.043718857851229295,0.0,0.09502455633746777,-0.017864661025699807,-0.06818337464980699,0.051211449585624735
0.04382601341185966,0.018222100830862318,0.09440413783675977,-0.0,-0.06279518201915946,0.049393819321422235
0.043996490148238136,0.018402916012271894,0.09425868148757384,-0.0,-0.057912540983856814,0.04707396947891662
0.04415750006840988,0.018423434697110358,0.09473518295692909,-0.0,-0.05420787720330493,0.04280045020189109
0.04429563528414107,0.018377751356602252,0.09549121763109053,-0.0,-0.05096496974903415,0.03750972283624432
0.044153799500747916,0.01804694933311345,0.0953331660403555,-0.0,-0.04866948840843731,0.032636527713324544
0.04411998335927385,0.01781126103488165,0.09531909073085489,-0.0,-0.04809440491860818,0.028485008804888474
0.043956160324255936,0.01743557116222968,0.09505255860688547,-0.0,-0.04845600233292799,0.02449284216085235
0.04397048382387829,0.016906132941413285,0.0953801213719266,-0.0,-0.049316644202264816,0.02004085799252342
0.04414942568812258,0.01654147898718766,0.09571388696594742,-0.0,-0.04994561222759816,0.01600946779041777
0.044258201754982296,0.016173938193076588,0.095997209530719,-0.0,-0.04896952112427671,0.012271899183580464
0.044423185196861156,0.01597138481043538,0.09622603155801526,-0.009279756867033747,-0.04762649010011517,0.0
0.04438406312988227,0.015901402481161328,0.09577682786619637,-0.008181890803210712,-0.045657161772104264,0.0
0.044367055202594645,0.015936884486831115,0.09539229093250583,-0.007241449878480773,-0.04285575993265517,0.0
0.04447654328414765,0.016149086770289808,0.09519482182051697,-0.005706493981875812,-0.04046940934191328,0.0
0.04437311512904636,0.016176886415695375,0.09457077429187857,-0.005248731236470789,-0.037383384849004817,0.0
0.044523197273905975,0.015931294839113146,0.0946122547121979,-0.0,-0.03348393904025094,0.00593924416781167
0.04467448294665045,0.015597785094062263,0.09446797651446413,-0.0,-0.028715952909809456,0.005617548234358726
0.044861874171950776,0.015330582976026458,0.09430939727164267,-0.0,-0.022827748561573994,0.004844098760288594
