PC1,PC2,PC3,PC4,PC5,PC6
-376.7712417261275,-384.459205340567,-156.00304680349635,-2.072616355165195,33.14118267158919,-11.72605370562415
-363.11945590261007,-378.6617464836853,-141.1844562246223,18.17514425227054,71.95310654649691,20.56863949332862
-365.1851188689948,-371.3556378656727,-152.2889445985503,18.02822461228544,82.44684365039934,-19.43113549139616
-346.379791354781,-328.070808823163,-191.65739975248363,7.363725695025494,53.26297357261491,-25.94111554628811
-382.46680136666623,-384.82475397098574,-175.0458381220786,-11.821056046354045,79.12091549534065,29.109556044896124
-366.0444063936276,-368.45989657671635,-166.32098090104307,-7.565028085503343,-21.4190898948103,-18.168707840557435
-370.30223730019736,-388.03063266779657,-128.08146561844325,20.024302344013847,99.06777984471745,22.297472219407766
-331.8585093919265,-330.5457461000568,-150.0874525572836,54.80959788668122,11.679806192483397,-47.22749757810875
-329.5927290943644,-355.90258987706767,-96.73307286466405,10.221398567742966,47.12304659184916,-11.755296771346925
-365.6585065145655,-394.90963275149636,-93.38387618982459,15.920524639941277,13.822277690360735,35.29449374715904
-386.3143141296883,-429.2116531940569,-92.27735256163186,-26.810077072491197,41.00154643570866,15.880440382278369
-417.3256046299082,-461.391560560559,-102.07498946805708,18.643219087101272,43.40018667994782,42.76141776478826
-412.5044568205775,-437.73162189798586,-133.26304206990602,39.08654942757704,70.1580174828911,37.73392017272087
-406.39722188592225,-426.7482430734452,-134.99958719773122,23.54437549807855,65.68362034649793,20.953448510345005
-403.5843913391644,-425.4024741815017,-132.67813389356579,22.348572858528797,72.27681523097742,19.42417696073666
-406.0171216079126,-422.32285879745723,-145.36703174162335,21.87758584682615,33.30847602939156,-26.852725123405257
-407.2143502498388,-417.0788712180094,-157.86943547734955,16.123631137383228,38.05498830439384,-22.526903592264922
-409.09915967158673,-418.41980994564517,-168.80392927722102,39.239336088667386,52.18989308785456,4.254103861229584
-353.0875657332632,-381.02705043619386,-105.38868783534006,58.6889408822384,37.47681436648625,17.045910718969616
-356.1117531928936,-378.1637138950697,-127.3441428435679,18.397604480981613,69.36990362863853,-24.046387750827545
-379.7218660522385,-403.71407012345577,-131.25328742127274,25.761427309856742,76.13658214228428,3.784943701305018
-357.16099940149206,-371.61797744449774,-130.4099455533921,23.645680112111023,62.764784740405325,3.402148632493372
-354.91670398277347,-361.7638630266394,-151.7165420687166,23.110566667098993,51.01386874028205,-23.789392730907203
-325.12342772373654,-309.42102722338643,-175.2847220734891,10.726988191171927,1.6495254431670858,-37.30758362882916
-289.85272482682956,-283.51198426840693,-146.9852554139119,23.8099559257507,29.272091745693757,7.031984076319567
-311.9237413596624,-302.9164665048079,-154.8741522049571,25.318666799210476,10.728862940406842,15.026640364416089
-331.5187853016006,-323.35716944355863,-164.27115148211513,-18.626170718815615,42.91292383840553,-40.402934104760135
-330.39128575105707,-301.0405835352944,-215.80911960908688,4.479276573870152,19.324107875529045,-5.589431732389961
-381.9644346602524,-406.84157893734584,-116.57711730937616,68.78711513177169,20.458156101297476,36.14617293917775
-379.4517170182252,-395.42988212942726,-140.9424697546187,9.56603215672078,26.755062317333596,15.857346457316861
-400.6010129368216,-423.2278203435242,-136.38079332334837,96.28216302501295,54.79942883679174,24.11871917532813
-383.27932443419616,-398.97256003598056,-146.94942547718188,77.12579493274079,111.0827555034605,29.570035161874884
-384.9806442483104,-389.8977303800807,-172.03608174085625,73.85062662538562,53.77016807248262,14.918886328461191
-416.8479681089115,-425.8161782031898,-170.49891250308156,18.71702814720328,10.875328052944141,19.713276861137214
-401.4669908690357,-423.5159429824266,-129.4437615177432,27.73852527919891,56.23883054149372,58.257143822016864
-400.74291776954374,-420.0158365886531,-139.49281132434703,38.768033926852326,49.0316139321116,29.862124650906594
-414.46543731034575,-453.0871095910666,-116.37090298407708,49.53108678600864,91.17608719034897,55.983359280766024
-392.851969547738,-408.311622082554,-138.30879761325497,56.484474705176126,61.800931116454265,24.792822651160034
-394.67736997041567,-414.8981999258385,-136.84809125856873,48.483657182829376,75.31305774421077,34.15848614347866
-395.69363068701773,-411.4554157750682,-148.89280103363166,67.472981571596,75.25466351227736,37.17826937602208
-421.2217251502359,-425.43291717349456,-184.40250542934388,37.27158710819896,67.70741249715672,31.910209828812278
-424.8232735413187,-434.39768401801825,-172.68532675900713,63.132950605240836,47.202148965975525,16.116571272342217
-421.636755583792,-447.8594229554509,-147.08720283773147,59.626616241592444,60.118977692856646,40.93713779267559
-403.95846117937333,-434.3477077256357,-116.68042703854512,42.48802806036221,64.02577300158893,47.957333198253195
-408.4743219238391,-422.6882282918499,-152.9685250826824,32.95932825038355,16.875157942035685,-3.5392033936017304
-429.5490949785564,-451.42966058428044,-151.56662605460843,26.89460508737136,41.94956889928805,-4.866681436184683
-430.2629435563477,-453.3607066666558,-151.71505620050854,53.92699207002539,48.20853502108389,-0.6698281696562276
-429.03594143222625,-458.06254751152517,-136.8226926894941,44.662814388362534,78.86159658753368,23.43963283208791
